,BODY SENSATION,EYES - DRY LEAF,EYES - LIQUOR,EYES - WET LEAF,GongFu Additional Seconds,GongFu First Infusion Seconds,GongFu No Infusions,GongFu g per 100ml,Link,MOUTH - FINISH,MOUTH - TASTE,MOUTH - TEXTURE,NOSE - DRY LEAF,NOSE - EMPTY CUP,NOSE - WET LEAF,Name,Number of Reviews,Price per Gram,Score,Type,Water Temperature,Western Additional Seconds,Western First Infusion Seconds,Western No Infusions,Western g per 100ml
114,"Vibrant clarity, bright energy yet centreing.",Very delicate and pale lime green bud and one leaf.,Clear and vibrant pale citrine yellow.,"Very pale, milky green bud and leaves.",5.0,30.0,7.0,3.0,https://meileaf.com/p/tea-ajsc/,"Sweet, soft and gently juicy.","Sweet adzuki, warm milk, orchids, gooseberries and wild strawberries.",Super soft and very syrupy.,"Almonds, white chocolate, dougnuts and caraway.",Icing sugar and powdered milk.,"Magnolia, strawberries, sweet peas and lentils.",Jade Arrow Supreme,95.0,1.04,94.0,Green,85.0,60.0,180.0,2.0,0.0
115,Uplifting and warming.,"Evenly rolled, raisin brown leaves with coral flecks.",Apricot orange.,"Artichoke green, copper and rosewood medium leaves.",5.0,25.0,9.0,5.0,https://meileaf.com/p/tea-eioc/,Physical dynamics from dry to fruity juiciness.,"Magnolia, mango kulfi, fresh apricots and pinewood resin.",Medium thick.,Peach and apricot jam on toasted brioche.,"Papaya milk, liquorice and honey.","Magnolia, apricot yoghurt, chestnut honey and shoe varnish.",Eight Immortals Oolong,181.0,0.45,89.0,Oolong,95.0,30.0,120.0,4.0,0.0
116,,,,,0.0,0.0,0.0,0.0,https://meileaf.com/p/gft-cothc/,,,,,,,China Oolong Tea Headliners,0.0,100.0,0.0,Oolong,0.0,0.0,0.0,0.0,0.0
117,,,,,0.0,0.0,0.0,0.0,https://meileaf.com/p/gft-whthc/,,,,,,,White Tea Headliners,0.0,100.0,0.0,White,0.0,0.0,0.0,0.0,0.0
118,,,,,0.0,0.0,0.0,0.0,https://meileaf.com/p/gft-blthc/,,,,,,,Black Tea Headliners,0.0,100.0,0.0,Black,0.0,0.0,0.0,0.0,0.0
119,,,,,0.0,0.0,0.0,0.0,https://meileaf.com/p/gft-tothc/,,,,,,,Taiwan Oolong Tea Headliners,0.0,100.0,0.0,Oolong,0.0,0.0,0.0,0.0,0.0
120,"Light, bright and easygoing.",Mustard Green balls with pale milky tones.,Lime yellow.,"Dark watermelon green, medium sized n leaves.",5.0,25.0,9.0,6.0,https://meileaf.com/p/tea-lcwc/,Light quench with a fresh and sappy juiciness.,"Malted milk, creamed spinach, marshmallow and parma violets.",Thick and soft.,"Oat biscuits, caramel popcorn and sweet cereal milk.",Vanilla lassi and scented erasers.,"Creme fraiche, egg custard, meringue and French toast.",Lily Cream Whip,126.0,0.21,89.0,Oolong,95.0,30.0,120.0,3.0,1.0
121,Warming and bright.,"Medium size, prune black leaves.",Apricot golden liquor.,"Light and delicate, dusky green and brown leaves.",5.0,30.0,8.0,5.0,https://meileaf.com/p/tea-almc/,Dry to milky.,"Strawberry milk, cooked apples and vanilla biscuits.",Medium thick.,Buttery Taiwan pineapple cakes and almonds.,Cantaloupe melon.,"Apple puree, lemon meringue pie and all butter shortbreads.",Almond Blossom,189.0,0.45,83.0,Oolong,90.0,30.0,120.0,3.0,0.0
122,,,,,0.0,0.0,0.0,0.0,https://meileaf.com/p/tea-fenc/,,,,,,,Fencha,49.0,100.0,90.0,Blend,0.0,0.0,0.0,0.0,0.0
123,Feel good and slightly drunken feeling.,Hunter green broken needle leaves.,Jade green liquor.,"Broken, forest green, young leaves.",20.0,60.0,4.0,4.0,https://meileaf.com/p/tea-ysec/,Long and juicy with wild strawberry sweetness and cannabis spice.,"Rich daikon broth with sweetcorn, parsley and lemon zests.",Thick and creamy.,Winter melon soup and buttered wholewheat bread,Carrot cake with cream cheese frosting.,"Salt and sweet porridge, sweet chestnuts and nashi pears.",Yame Saemidori Sencha,142.0,0.24,90.0,Green,70.0,30.0,120.0,2.0,0.0
124,Digestif and pampering.,Raisin brown leaves and stems.,Chestnut brown liquor.,Mahogany leaves.,5.0,25.0,12.0,5.0,https://meileaf.com/p/tea-liec/,Intensely sweet nutty and floral juiciness.,"Hazelnut syrup, lillies and raisin malt loaf.",Medium.,Hazelnuts and aged gouda.,Warm malt loaf.,Fruit and nut cake with angelica and frangelico.,Liu Bao 1988,50.0,100.0,91.0,Ripened,99.0,30.0,120.0,7.0,0.0
125,Bright and settling with a good digestif quality.,"Light chestnut brown, matt leaves.",Deep orange liquor.,Cacao browm leaves.,5.0,10.0,15.0,5.0,https://meileaf.com/p/tea-atlc/,Dry to cooling jasmine and tangerine juiciness.,"Brazil nuts, red bean paste and sweet orange peel.",Medium thick.,"Oak, vanilla and leather.",Asphalt and brown bread.,"Walnut bread, angelica and varnished, antique hardwoods.",Autumn Light,245.0,0.12,87.0,Ripened,99.0,30.0,120.0,5.0,0.0
126,Mellow but buzzy and happy energy.,Slightly purple and pink tinged sultana brown leaves.,Burnt tangerine with a slightly pink hue.,"Glossy, pink hued, chestnut brown leaves.",10.0,20.0,7.0,5.0,https://meileaf.com/p/tea-anhc/,"Quenching with a cooling, sugarcane sweetness.","Baked orange, blackcurrant, muscatel and barrel aged rum with a grapefruit, hoppy, craft beer finish.",Medium and refreshing.,"Grapefruit, dried mango and hops with a light cocoa warmth.",Ginger caramel spongecake and beer.,Cherry and malt with dried ginger and coriander seeds.,Ancient Haze,184.0,0.24,90.0,Black,95.0,30.0,120.0,2.0,0.0
127,Bright and warming.,Fluffy and furry silver green buds and young leaves.,Clear and bright yellow liquor.,"Delicate, bright pistachio green bud and one leaf",60.0,120.0,5.0,2.0,https://meileaf.com/p/tea-gnlc/,"Cooling and sweet, tingly and long finish.","Orchid, orange blossom water, black pepper and edamame with a honey sweet finish.","Soft, rounded and silky.","Sweet soy milk, green acorn and malted barley.",Petrichor and sweet cream.,"Orchid, gripe water, caraway, vegetable broth and chickpeas.",Sweet Dew - First Pluck 2022,99.0,0.42,88.0,Green,85.0,60.0,240.0,2.0,0.0
128,Uplifting and happy.,Smooth and glossy deep bamboo green buds.,"Very bright, lime juice yellow liquor.",Pure bamboo green buds.,30.0,60.0,5.0,2.0,https://meileaf.com/p/tea-zyqc/,"Slight astringency to very tingly, stevia sweet and cooling finish","Green apple, sweetened soy milk, sugar snap peas and green bamboo.",Thick and brothy.,Bamboo and porridge oats.,Dragon fruit and wild honey.,"Lime flower, pistachio and sweet congee.",Bamboo Sabre - Pre Qing Ming,62.0,0.85,88.0,Green,85.0,60.0,240.0,2.0,0.0
129,Warming.,"Deep crimson, fuscia and purple flowers.",Shifting colour from blue to sunset red.,Bright fuscia which fades through infusions.,10.0,25.0,5.0,3.0,https://meileaf.com/p/tea-purc/,Light and aromatic sweetness.,"Apple cider, cherry sweets and honey.",Medium light liquor.,Treacle and pomegranate juice.,Pear and apple cider with treacle.,Warm honey and lemon juice.,Purple Rose,51.0,0.2,96.0,Tisanes,99.0,30.0,120.0,2.0,0.0
130,"Rising, effervescent and wild tea-lifted energy.","Silver fur covered, fine pickings with lots of buds and seal brown, young leaves.",Peach gold liquor.,Very fine pear green buds and leaves.,5.0,20.0,12.0,5.0,https://meileaf.com/p/tea-davc/,Mineral on top of tongue and pear sweetness on sides of mouth.,Brown bread and caramelised pears moving to custard apples and juniperberry.,Mineral and fresh.,"Vanilla custard, brown bread ice cream and kiwi.",Fresh cut golden apples and honey.,"Juniperberry, satsuma, custard apples and pickled greens.",Day Drinking Diva,113.0,0.33,85.0,Raw Puerh,95.0,30.0,120.0,5.0,0.0
131,Arousing and awake.,"Slender, furry, matt brown buds with golden flecks.",Vibrant gold liquor.,Rich chestnut brown buds with small leaves.,5.0,25.0,7.0,4.0,https://meileaf.com/p/tea-ssjc/,Intense cinnamon sweetness.,"Cinnamon, pear candy, maple syrup milk, malted biscuits and violets.",Soft and thick.,Malted biscuits with poached pears in sugar syrup.,Burnt sugar and cooked pears.,"Caramelised bread with raspberry jam, lilac, cinnamon and sweet wine.",Sweet Spice JJM,83.0,0.9,91.0,Black,95.0,60.0,120.0,3.0,0.0
132,Excitable and buzzy drunken sensation.,"Ultra fine, twisted and furry copper gold buds.",Rich and thick chestnut brown.,"Glowing russet brown, even coloured very fine buds.",5.0,25.0,9.0,4.0,https://meileaf.com/p/tea-gblc/,Tingly with powdered sugar and raisin sweetness.,"Malted chocolate, salted caramel pecans, raisins, rose and lychee.","Soft, brothy, round, oily and very thick.","Dark chocolate biscuits, red wine, lychee and dark caramel pecans.","Dark baked rye bread, toffee and dark chocolate raisins.","Lychee syrup, toasted coconut and pain au chocolat with a hint of varnish.",Bailu Gold,52.0,1.13,91.0,Black,95.0,30.0,120.0,5.0,0.0
133,Bright yet settled mind and gentle energy.,Fluffy silver buds and deep spinach green young leaves.,Citrine yellow.,Light pear green buds and sage green leaves.,5.0,30.0,7.0,3.0,https://meileaf.com/p/tea-wpkc/,Quenching tingle to syrupy sweetness.,"Vanilla custard, icing sugar, talcum powder, green acorns and carnations.",Thick.,"Candied almonds, fresh cut pine, persimmon.",Light banana cream.,"Vanilla nougat, marzipan, evaporated milk, banana pudding, acorns.",King Peony,83.0,0.34,92.0,White,90.0,30.0,120.0,3.0,0.0
134,Warm and stimulating circulataion with a bright and happy drunkenness.,"Shimmering, furry, deep brown, khaki and gold leaves.",Orange wine liquor.,Turtle brown leaves.,5.0,25.0,12.0,5.0,https://meileaf.com/p/tea-crcc/,Sweet lotus with a long and cooling mintiness.,"Strawberry candy, rolling tobacco, vanilla poached apples, magnolia, old library, baked oranges and caramel.","Thick, soft and oily texture.","Apricot jam, eucalyptus bark, vanilla pods and sweet rolling tobacco.",Toffee apples and antique woods.,"Plum pie, autumn forests, tinned pineapple, strawberry candy and leather.",Cross-Motion Conductor,52.0,0.62,91.0,Raw Puerh,95.0,30.0,120.0,5.0,0.0
135,,,,,0.0,0.0,0.0,0.0,https://meileaf.com/p/cl-msws/,,,,,,,Matcha Swaddle Set,0.0,100.0,0.0,Green,0.0,0.0,0.0,0.0,0.0
136,Light and lively.,Dark chestnut with auburn flecks medium leaves.,Whisky gold,Deep khaki leaves.,5.0,25.0,10.0,4.0,https://meileaf.com/p/tea-sprcc/,"Gripping minerals leading to sweet, apricot and thyme juiciness.","Peach sherbet, mangosteen, mastic, oregano and cedar.",Medium and mineral.,"Hard peach candy, grapefruit zest, chocolate and hazelnuts.",Apricot yogurt.,"Nectarines, lotus flower and almond brittle.",Orchard Stream,33.0,0.53,87.0,Oolong,99.0,30.0,120.0,3.0,0.0
137,Warming and lively.,Mahogany brown leaves.,Amber gold.,Dark chestnut leaves.,5.0,25.0,10.0,4.0,https://meileaf.com/p/tea-swnc/,Lightly dry to very cooling cinnamon juiciness.,"Whisky, burnt sugar, red dates, lotus seeds, thyme and cinnamon.","Medium, soft and syrupy.","Chocolate almonds, varnish, cannabis and baked orange.",Whisky and chocolate fondant cake.,Peated whisky soaked raisins and dark chocolate.,Swallows Nest,89.0,0.29,89.0,Oolong,99.0,30.0,120.0,3.0,0.0
138,"Buzzy, warm, light and excitable.",Jungle green and dark plum leaves with gold buds.,Pure gold.,"Vibrant, pickle green fine pickings.",5.0,20.0,12.0,5.0,https://meileaf.com/p/tea-mpgc/,Intense tingly dry to sweet flooding juiciness.,"Grape clafoutis, butter toffee, lotus flower and wet rocks.",Thick soft and juicy.,"Vanilla poached pears in caramel, brown bread ice cream and lotus flowers.",Peony and nougat.,"Baked apples, tonka bean and dark raisins.",Mist Pilgrim,51.0,0.53,88.0,Raw Puerh,95.0,30.0,120.0,5.0,0.0
139,Cooling and calming.,Deep green micronised powder.,Dark herb green liquor.,n/a,0.0,0.0,0.0,0.0,https://meileaf.com/p/tea-mlpc/,Soft plant sugar sweetness.,Creamed avocado and steamed milk pudding,"Soft, thick, silky and creamy.",Moss and rivers.,Icing sugar.,Milk pudding and creamed spinach.,Mulberry Leaf Powder,26.0,0.37,89.0,Tisanes,0.0,0.0,0.0,0.0,0.0
140,Bright and happy.,"Lime skin and flesh green, flat leaves.",Bright and light chartreuse.,"Bright, pistachio green leaves.",5.0,20.0,6.0,3.0,https://meileaf.com/p/tea-ljsc/,Soft and juicy with tingly sides of tongue leading to melon and lemon hard candy sweetness.,"Malted barley, borlotti beans, cooked chestnuts, umami broth, gala melon, rice pudding.",Medium to opening and vaporous.,"Roasted borlotti beans, chocolate bourbon biscuits and congee.","Talc, icing sugar and lemon drops.","Feijoada, coffee beans, green peas and alpine air.",Long Jing Supreme,27.0,1.04,92.0,Green,85.0,60.0,120.0,2.0,0.0
141,Bright and light happy energy.,Army green leaves broken from steaming.,Deep lime green.,Delicate pine green young leaves.,10.0,45.0,4.0,4.0,https://meileaf.com/p/tea-fuyc/,Fleeting bitters to cooling and refreshing sweet mandarin juiciness.,"Borlotti beans, buttered buckwheat bread with syrup, yuzu and toasted nori.",Medium.,"Brown butter, marrow and pancake syrup.",Sugared almonds.,"Rose cordial, cherry blossom, marzipan, zucchini soup with buttered sweetcorn.",Sweet Fukamushi Sencha,16.0,0.19,85.0,Green,70.0,30.0,120.0,2.0,1.0
142,Feel good buzzy body feel.,"Deep pine green, shiny needles.",Pale jade yellow.,Delicate arugula green young leaves.,10.0,60.0,4.0,4.0,https://meileaf.com/p/tea-skac/,Lightly dry with a creamy vapour and sweet flooding juiciness.,"Melon milk, buttered daikon, river pebbles, steamed rice and lotus leaves.",Thick and oily.,"Marshmallow, strawberry jam, buttered popcorn, zucchini and honeydew melon.",Cake frosting.,"Steamed, buttered marrow, cherry jam, pine resin and lilacs.",Saeakari Kabusecha,10.0,0.27,95.0,Green,70.0,30.0,120.0,2.0,1.0
143,"Warm and supple, meditative energy.",Rich and bright emerald green powder.,Deep emerald liquor.,n/a,0.0,0.0,0.0,0.0,https://meileaf.com/p/tea-omac/,"Cooling, juicy cooked watermelon and lemon candy sweetness.","Hazelnut syrup, milky coffee, puffed rice treats and sweet basil.",Creamy and uber-smooth.,Speculoos biscuits and dark chocolate.,Sweet red beans and glutinous rice.,"Toasted pistachio, nougat and creamed potatoes.",Tatsuyama Matcha,3.0,0.82,100.0,Green,0.0,0.0,0.0,0.0,0.0
144,Potent buzzy energy with a wild  and high character.,Burgundy and taupe brown young leaves with shiny dark silver buds.,Straw gold liquor.,Light khaki green delicate leaves.,5.0,25.0,12.0,5.0,https://meileaf.com/p/tea-lsrc/,"Mineral bitters which instantly transform to strong, cooling, flowery and slightly soapy sweetness.","Steamed lotus seed dumplings in bamboo baskets, oat cookies, persimmon, aloe and young coconut flesh.",Medium thick and very smooth.,"Chocolate milk, sauna wood and rocks, brown bread and custard.",Apricot yoghurt and ginger biscuits.,"Strawberry jam, steamed sponge cake, apricot nectar, hot pavements.",Love-Struck Rascal,19.0,0.31,88.0,Raw Puerh,95.0,30.0,120.0,5.0,0.0
145,Chilled and reviving.,"Tiny, delicate, oily, rich, dark taupe buds.",Golden Whisky.,"Chocolate and chestnut brown, glistening buds.",5.0,10.0,8.0,3.0,https://meileaf.com/p/tea-gbrc/,Long lingering sweetness.,"Turkish delight, dark chocolate, sandalwood, lychee and rosehip.","Very soft, thick and vaporous.","Cocoa, malt and rose.",Ginger tuile biscuits.,Dark chocolate brownies and geranium.,Gleaming Brow,183.0,0.96,97.0,Black,90.0,60.0,120.0,3.0,0.0
146,Warming and relaxing with a slight drunkenness.,Dark mahogany brown medium leaves.,Amber caramel liquor.,"Deep, glossy mahogany medium leaves.",5.0,25.0,10.0,5.0,https://meileaf.com/p/tea-emoc/,Dry to oily with a raspberry sweetness.,"Vanilla buttercream, antique woods, vinyl and raspberry.",Thick and oily.,"Dark toffee, coffee beans, cocoa and raspberry.",Coconut toffee and wild strawberries.,"Cooked apples, charcoal, dark salted caramel and lime cordial.",Undercover DHP,174.0,1.16,92.0,Oolong,99.0,30.0,120.0,3.0,0.0
147,Bright and refreshing.,Blue green algae and deep pine green ball rolled leaves.,Bright citrine liquor.,"Khaki green, ruffled edge leaves.",5.0,25.0,8.0,5.0,https://meileaf.com/p/tea-souc/,Zingy and bright with a guava juiciness.,"Yoghurt, green mango, watermelon rind and young coconut ice cream.",Medium soft.,"Pineapple, brown butter and biscuits.",Apricot jam and butter.,"Laundry, sour cream, cassava cake, raspberry and magnolia.",Sour Sap,269.0,0.19,86.0,Oolong,95.0,30.0,120.0,3.0,1.0
148,Bright and happy.,Deep pine and lime green needles.,Lime juice green liquor.,Lime khaki green young leaves.,20.0,60.0,4.0,5.0,https://meileaf.com/p/tea-ashc/,Dry to very cooling juiciness.,"Porrigde, strawberry shortbread, cooked cucumber and a bright lemon verbena finish.",Thick and full bodied.,Butter cookies with melted chocolate.,Strawberry jam and butter cookies.,"Creamy porridge, steamed asparagus and wild strawberries.",Ashikubo Sencha,62.0,0.2,93.0,Green,80.0,30.0,120.0,2.0,0.0
149,Bracing but powerful calming sensation.,Black green large twisted leaves.,Golden yellow.,Large dark brown leaves.,10.0,15.0,5.0,1.0,https://meileaf.com/p/tea-blkc/,Clean and dry.,Powerful medicinal bitterness moving to sweet finish.,Medium.,Leather and liquorice.,Smoked prunes.,Medicinal with some fresh tobacco and smoke.,Big Leaf Kuding,75.0,0.25,77.0,Tisanes,99.0,30.0,60.0,2.0,0.0
